weakness_name_en,subvirtue_name_en,priority
Indecisiveness,Spontaneity/Initiative,1
Indecisiveness,Responsibility and Ownership,2
Indecisiveness,Intellectual Self-reliance,3
Indecisiveness,Resourcefulness,4
Indecisiveness,Goal orientation,5
Indecisiveness,Competitive spirit/Will to win,6
Indecisiveness,Emotional Self-reliance,7
Indecisiveness,Composure during execution,8
Indecisiveness,Multi-tasking ability,9
Defeated mindset,Spontaneity/Initiative,1
Defeated mindset,Competitive spirit/Will to win,2
Defeated mindset,Ambition/Grandeur,3
Defeated mindset,Creativity,4
Defeated mindset,Emotional Self-reliance,5
Defeated mindset,Determination,6
Defeated mindset,Consistency/Persistence,7
Unappreciative nature,Emotional Self-reliance,1
Unappreciative nature,Flexibility,2
Unappreciative nature,Creativity,3
Unappreciative nature,Team building skills,4
Unappreciative nature,Adaptability,5
Little self-reflection,Self-reflection,1
Little self-reflection,Contemplation/Meditation,2
Little self-reflection,Ability to separate 'self' from decisions,3
