sentence_text_en,title,description,duration_days,weakness_names
"I consciously practice gratitude, focusing on the positive aspects of your life.",The 75-Day Gratitude Evidence Archive,"For 75 consecutive days, at the same time every day, collect and physically archive one concrete piece of evidence that something positive exists in your life. Evidence means a tangible artifact — a photograph printed on paper, a handwritten receipt from a good meal, a bus ticket from a journey that went well, a dried flower, a torn piece of a newspaper with a good headline, a note passed to you by someone. Every artifact must be stored in a physical folder (not a phone album) with a handwritten label of maximum 10 words explaining exactly why this is evidence of something positive. You cannot use the same category of artifact twice in any 7-day window. No digital storage is permitted. On Day 75, present this archive to 5 people who know you well. They must be able to identify, from the archive alone, what you value most in your life — without you speaking a single word during the presentation. If even one person cannot correctly identify your values from the archive, you must restart the 75-day cycle from Day 1.",75,Little self-reflection
I can complete a task without making any mess of it by exercising a great restraint to not rush the completion of the task.,The Coin Tower — 60 Days,"Using only 100 standard Indian 1-Rupee coins (the small, stainless steel ones), build a single-column tower (one coin on top of another) that reaches a height of 50 coins. Once the tower is stable, leave it in a common area of your room or hostel for 24 hours without it falling. Rules: Build this on a standard student desk — you cannot use glue, tape, or blue-tack; you must build this while your roommate is in the room or while music is playing — exercise great restraint to not let external noise make your fingers twitch; if the tower falls at coin 49, you are not allowed to get angry or give up — take a deep breath, pick up the coins, and start again from coin 1.",60,Defeated mindset
"I can complete my work by finding appropriate alternatives for tools, people, and methods, and by getting the cooperation as I need.",The 100-Person Signature Quest — 2 Months,"Get 100 people from 5 different professions to sign a petition for a local cause (e.g., better library hours) using zero digital communication. Example 1: Standing in 5 different local spots (market, bank, school) to find alternative people. Example 2: Convincing them to cooperate through a 30-second persuasive speech. The ultimate test of getting cooperation at a local-society level.",60,Defeated mindset
"I can maintain the intensity with which I resolve something, till the goal is achieved.",Silence in the Storm — 2 Months,"Go to a busy railway station during the morning rush. Stand in one spot for 2 hours. Example 1: You must perform Mental Math (multiplying 3-digit numbers) without a break. Example 2: If the noise breaks your focus and you lose your math place, stay for an extra hour. Your internal intensity must be a fortress against external chaos.",60,Defeated mindset
"I can maintain the intensity with which I resolve something, till the goal is achieved.",The Deepak Guard — 2 Months,"Keep a single earthen Diya (lamp) burning in your room for 12 hours straight every weekend. Example 1: You must personally trim the wick and refill the oil. You cannot sleep while it is lit. Example 2: If the flame goes out once in 60 days, the challenge is a Failure — reset to Day 1. This is a 2000+ hour marathon of intensity. The goal is simple; the resoluteness is elite.",60,Defeated mindset
"I have a well-defined daily routine, and I follow it to carry out my work.",The Digital-Fast Sunday Routine — 2 Months,"Every Sunday, you must follow an Analogue Routine from 8:00 AM to 8:00 PM (No phone/No PC). Example 1: The day must be broken into 1-hour blocks of: Reading, Cleaning, Walking, and Writing. Example 2: You must have a physical Written Schedule on your wall and check each block with a pen. Breaks the dependency on digital triggers and builds internal resoluteness.",60,Defeated mindset
I can move forward with confidence in my own abilities.,The Solo Navigator — 2 Months,"Travel to a nearby city you have never visited. Leave your phone at home. You have only a paper map and your ability to ask for directions and read signs. You must reach 3 specific landmarks and return home within a fixed time. If you can navigate a chaotic Indian city without a digital crutch, you will realize your abilities are a superpower.",60,Defeated mindset
I always complete the work I undertake.,The Mountain of Neglect Restoration — 3 Months,"Identify an abandoned, littered, or degraded public spot in your locality (e.g., a dried-up pond or a trashed corner). You must lead a personal mission to restore it to a clean state. You must work on it every Saturday for 3 months, regardless of weather or lack of help. This is impossible because people will likely litter again while you clean. Resoluteness is tested when you complete the cleaning cycle anyway. Example 1: Turning a trash dump into a small flower bed. Example 2: Desilting a small community drain single-handedly.",90,Defeated mindset
"Even when many people oppose my opinions, I stand by my opinions and ensure that what is pre-determined happens.",The 90-Day Public Conviction Ledger,"For 90 consecutive days, maintain a public Conviction Ledger — a live document (Google Doc, Notion page, or LinkedIn post series) where you record every position you hold publicly, every time it is challenged, and whether you held or abandoned it. The ledger is publicly linked in your social bio for the full 90 days. Every 30 days, publish a Conviction Audit post — a detailed review of which positions you held, which you abandoned, and the specific reasoning for each. You must hold at least 3 active public positions at any given time throughout the 90 days. Any position you abandon publicly must be replaced within 48 hours with a new one. At Day 90, present the complete ledger as a public case study in a long-form post or video.",90,Defeated mindset
"Once something is achieved, I have a desire to make it happen repeatedly and on a larger scale.",The 90-Day Conquest Cascade,"Select one significant achievement you have already completed. Over the next 90 days, run that same achievement in 9 progressively larger forms, one per 10-day cycle, each version at least 50% larger than the last in terms of people involved, output produced, or geographic reach. You must personally lead every version. You must document every cycle with a one-page Conquest Log — what was done, who participated, the metric, and what broke — completed within 24 hours of each cycle ending. By Day 90, you must have a bound 9-page Cascade Document and present a 10-minute summary of your full Cascade to a live audience of at least 15 people who did not participate in any version.",90,Defeated mindset
My thinking is strictly positive.,The 10-Day Clarity Under Uncertainty Challenge,"For 10 consecutive days, independently manage multiple unfamiliar tasks under conditions of limited information and no reassurance, without avoidance or delegation. Daily: Choose one task never done before (new office work, unfamiliar process, new responsibility); no prior research, tutorials, or examples allowed before beginning; must not seek validation, confirmation, or approval before acting; each task must involve interaction with at least one unfamiliar person; any mistake must be handled immediately without stopping or withdrawing. At end of each day, submit: one situation where clarity was missing, one decision taken independently, one mistake made, one adaptation applied, one learning gained.",10,No clarity
I can talk in front of any (small / big) group of people,30-Day Transformation Challenge — Open Mic Commitment,"Stand in front of an audience, speak for three minutes, and share the personal fear journey. The individual must register for an open mic event where speaking is compulsory and the audience is completely unknown. A minimum three-minute speech must be prepared, delivered, and recorded as proof of completion.",30,Bad communication
"When friends, relatives, or acquaintances face a problem, first thing that comes to my mind is about the ways in which I can help them.",Supporting one individual continuously for seven days,"For 7 days, act as a full-time emotional caregiver for someone who is struggling. Duties: check on them daily, offer emotional support, assist with tasks, encourage them, stay involved. You cannot ignore messages. You cannot withdraw. This builds emotional endurance.",7,Less sensitivity / empathy
"When friends, relatives, or acquaintances face a problem, first thing that comes to my mind is about the ways in which I can help them.",Completing 100 acts of help in 30 days,Track every act of help over 30 days. Your brain will rewire helping as a habit. Each act must be recorded.,30,Less sensitivity / empathy
"When friends, relatives, or acquaintances face a problem, first thing that comes to my mind is about the ways in which I can help them.",Acting as a full-time emotional caregiver for seven days,"For 7 days, act as a full-time emotional caregiver for someone who is struggling. Duties: wake them up, check their mood, encourage self-care, help with work, stay emotionally available. You cannot ignore messages. You cannot withdraw. This builds emotional endurance.",7,Less sensitivity / empathy
"I can present my point publicly in front of everyone, whether they are small or big personalities.",Leadership Event Speech,"Deliver a speech at a formal leadership event where senior professionals are present, your ideas are evaluated, and you handle Q&A.",,Lack of self-respect
"I can present my point publicly in front of everyone, whether they are small or big personalities.",Government Office Visit,"Visit a government office (collector, registrar, municipal office, etc.) and: request an appointment, present a real problem, argue for a solution, and handle authority questioning. Impact: Builds confidence with institutional power.",,Lack of self-respect
"Regardless of how much people try to convince me otherwise or oppose my work, I can fearlessly carry out what I have decided.",The 90-Day Steadfastness Challenge,From the Cultivating-Unshakeable-Steadfastness document: Combine the exposures and resolutions into a 90-day integrated practice. Week 1-3: Local resolution (Silent Commitment Witness). Week 4-5: 10-Person Pressure Test. Week 6-9: Public Progress Board. Week 10-11: Fortnightly Uncomfortable Letter. Week 12: Weekly Global Rejection Hunt and Counter-Cultural Challenge running in parallel. Throughout: Document all experiences in a Steadfastness Journal shared publicly on Day 90.,90,Tendency to avoid conflict
"I ask for feedback on my actions, work, or behavior",The 90-Day Invisible Mastery Project,"Choose one skill or body of knowledge you wish to master (e.g., advanced coding, a musical instrument, a foreign language, a complex theory). For 90 consecutive days, dedicate a minimum of 2 hours daily to intensive, deliberate practice or study. This must be entirely invisible: no public mention, no progress reports to anyone, no showing off results, not even talking about it to your closest confidantes. Zero external validation. Zero external motivation. Zero expectation of recognition. Zero accountability partners. Zero exceptions. Keep a private, unshareable journal documenting your daily struggles, breakthroughs, and learning process. The skill chosen should be complex enough that 90 days will show tangible internal progress, but not full mastery.",90,Imbalance in employing strengths
I can easily elaborate about anything I did in last three months and reasons thereof.,The 90-Day Triple-Stack Initiative Marathon,"For 90 consecutive days, maintain THREE parallel initiatives simultaneously — one local, one national, one global. All must produce measurable outcomes. No quitting, no pausing, no excuses. STACK 1 LOCAL: Create and sustain a functioning community project — weekly sessions (12 total), minimum 3 consistent participants, document every session, create public Progress Report every 2 weeks. STACK 2 NATIONAL: Produce and publish sustained national-level content — published output every 7 days, minimum quality threshold, track reach (500+ total views by day 90). STACK 3 GLOBAL: Execute international collaboration or global application campaign — regular international engagement 2x per week minimum, produce one substantial deliverable, cross at least 3 time zones in interactions. Post combined progress update every Sunday on all platforms titled 'Day X/90: Triple-Stack Initiative Update.'",90,Defeated mindset
