text_en,text_mr,subvirtue_name_en
I know how to measure my skill level in a particular subject and perform such assessments regularly.,"माझे एखाद्या विषयामधील कौशल्य किती आहे, ते कसे मोजायचे हे मला माहिती असते व असे मोजमाप मी करत असतो.",Skills-based Self-reliance
I systematically improve my skills in a particular subject., एखाद्या विषयातील माझे कौशल्य मी नियोजनपूर्वक वाढवतो.,Skills-based Self-reliance
I can tolerate criticism or negative feedback.,लोकांनी केलेली टीका किंवा वाईट अभिप्राय पचवता येतो. ,Emotional Self-reliance
I understand what emotion I am experiencing at the moment.,माझ्या मनात त्या त्या क्षणाला कोणती भावना आहे हे मला समजते,Emotional Self-reliance
I know the purpose of each emotion and therefore do not blame myself.,कोणत्याही भावनेचा काय उपयोग असतो हे मला समजते व त्यामुळे मी स्वत:ला दोषी मानत नाही.,Emotional Self-reliance
"If someone makes a mistake, I do not expect an apology from them.",कोणीही चुकला असेल तर त्याच्याकडून माफीची अपेक्षा करत नाही. ,Emotional Self-reliance
"When a feeling arises, I know how to respond to it.",मनात भावना उत्पन्न झाली की त्यावर कसा प्रतिसाद द्यायचा हे समजते.,Emotional Self-reliance
I do not feel dejected while working in difficult or adverse situations.,अडचणीच्या/प्रतिकूल प्रसंगी मी काम करताना खचत नाही.,Emotional Self-reliance
"Even if I feel angry or experience any other emotion, I express it appropriately.",मला राग अथवा कोणतीही भावना आली तरी मी ती योग्य प्रकारे व्यक्त करतो.  ,Emotional Self-reliance
"If my way of expressing is wrong, I try to correct it.",माझे व्यक्त होणे चुकीचे असल्यास त्यात सुधारणा करण्याचा प्रयत्न करतो.,Emotional Self-reliance
"Despite internal turmoil, externally I continue to fulfill my commitments, while carrying out reflection internally.","मनात कितीही आंदोलने चालू असली तरी त्यावर आतल्या आत चिंतन करून, जे ठरले आहे, ते पार पाडत राहतो.",Composure during execution
I only change the planned work if the alternative has been thoroughly considered and is accepted by colleagues or if I am confident that they will accept it.,ठरलेल्या कामाला पर्याय हा पुरेसा विचारपूर्वक शोधला गेला असेल आणि तो सहकाऱ्यांनाही मान्य झाला अथवा त्यांना मान्य होईल असा मला विश्वास असेल तरच ठरलेले काम बदलतो. ,Composure during execution
I prioritize the expected outcomes of the thought process over the attraction of alternative work.,पर्यायी कामाच्या आकर्षणापेक्षा काम करण्यापूर्वी झालेल्या विचार प्रक्रियेला व कामाच्या अपेक्षित परिणामांना महत्त्व देतो.,Composure during execution
"If the expected work is not happening quickly, I do not become restless as I know the importance of waiting patiently.",अपेक्षित काम वेगाने होत नसेल तर संयमपूर्वक वाट बघायची असते हे लक्षात घेऊन मी अस्वस्थ होत नाही.,Composure during execution
"After listening to everyone's opinions, including those of well-wishers, if I have thoughtfully decided what to do, I continue the work without changing it. I ensure that others feel their suggestions are acknowledged appropriately.","सर्वांची मते ऐकून, अगदी कल्याणमित्रांचीही मते ऐकून, मला जे करायचे आहे ते विचारपूर्वक ठरलेले असेल, तर काम न बदलता चालू ठेवतो. इतरांच्या सूचनांची योग्य पद्धतीने दखल घेतल्याचे त्यांना जाणवेल असे पाहतो.",Composure during execution
I can work with the same excellence even without sleep for two consecutive days.,"सलग दोन दिवस झोप न घेता, रोजचे काम त्याच उत्तमतेने करता येते. ",Physical Self-reliance
"Whenever necessary, I can take rest or sleep in the required amount.",आवश्यक तेव्हा आवश्यक तेवढी झोप / विश्रांती योग्य त्या प्रमाणात घेऊ शकतो.,Physical Self-reliance
I perform actions that test or stretch my physical capacity.,शारीरिक क्षमता ताणल्या जातील अशा कृती करतो.  ,Physical Self-reliance
I regularly follow a diet that is appropriate for me.,मला योग्य होईल असा आहार नियमितपणे घेतो.,Physical Self-reliance
"Even when I am tired, I can work with the necessary enthusiasm.",शरीर थकले तरी आवश्यक त्या उत्साहाने मला काम करून घेता येते.,Physical Self-reliance
I can talk in front of any (small / big) group of people,"गटासमोर (मोठ्या, छोट्या) बोलता येतं. ",Communication skills
"During one on one conversations, I can convey my own thoughts and feelings and also understand the feelings and thoughts of others.",वैयक्तिक संवाद करून स्वत:च्या विचार व भावना पोचवता येतात व दुसऱ्याच्या भावना व विचार समजून घेता येतात. ,Communication skills
I listen to all kinds of things attentively and understand them well.,"सर्व प्रकारच्या गोष्टी उत्तम रीतीने ऐकतो, समजून घेतो.",Communication skills
I can express to others the difficulties they have caused without hurting them.,दुसऱ्यामुळे तयार झालेल्या अडचणी त्या व्यक्तीला न दुखवता सांगतो.,Communication skills
"If someone is quiet in a group, I encourage him/her to speak.",गटामध्ये कुणीतरी शांत बसले असेल तर त्यांना बोलण्यासाठी उद्युक्त करतो. ,Communication skills
"I am able to express what others feel, or want to say, in my own words.",मला दुसऱ्याच्या भावना अथवा त्यांना काय वाटतंय ते आणि त्यांना काय म्हणायचं आहे ते सर्व माझ्या शब्दात मांडता येते.,Communication skills
I pay careful attention to body language during conversations.,मी संभाषणांमध्ये देहबोलीकडे काळजीपूर्वक लक्ष देतो.,Communication skills
"I try to respond in an appropriate manner even if someone asks a ridiculous or inappropriate question,",कोणीही कितीही हास्यास्पद / अयोग्य प्रश्न विचारले तर त्याला योग्य पद्धतीने उत्तर द्यायचा प्रयत्न करतो.,Responsibility and Ownership
I prioritize work in such a way that it not only causes the least trouble to othersm but also positively benefits them.,इतरांची कमीतकमी अडचण व जास्तीत जास्त फायदा होईल अशा पद्धतीने कामाचा प्राधान्यक्रम ठरवतो.,Responsibility and Ownership
I believe everyone in society has the right to gain information about my work.,माझ्या कामाबद्दल माहिती मिळण्याचा अधिकार समाजातील सर्वांना आहे असे मला वाटते.,Responsibility and Ownership
"I, on my own initiative - not because someone asks me to, personally share information about my work and future plans with all relevant individuals.",माझ्या कामाची माहिती व पुढचे नियोजन आवश्यक त्या सर्व व्यक्तींना मी स्वत:हून सांगतो.,Responsibility and Ownership
"If I or anyone in the group falls short of what is expected of us about our work, I take and fulfill the responsibility on behalf of the group to make improvements, seeking help from others, wherever necessary.","स्वत: अथवा गटातील कोणी कामात कमी पडले तर सुधारणा करण्याची जबाबदारी गटाच्या वतीने, आवश्यक तिथे कोणाचीही मदत घेऊन पार पाडतो.",Responsibility and Ownership
"I offer help and encouragement to ensure that work-plans of others too are carried out effectively, or insist - in an appropriate manner - that this happens.",इतरांचे नियोजनही चांगल्या प्रकारे पार पाडावे यासाठी मी मदत व प्रोत्साहन देतो वा योग्य पद्धतीने आग्रहही धरतो.,Responsibility and Ownership
I willingly take on new responsibilities and challenges.,नवीन जबाबदाऱ्या व आव्हाने आवर्जून स्वीकारतो.,Responsibility and Ownership
I enjoy working in a team.,गटामध्ये काम करताना आनंद वाटतो.,Organization orientation
I share with the team what I have learned and experienced while working.,"काम करताना जे शिकायला मिळालं, अनुभवलं ते गटासोबत share करतो.",Organization orientation
"When doing any task, I think about how to involve others in it.",एखादे काम करताना दुसऱ्या व्यक्तीला त्यात कसे सामवून घेता येईल याचा विचार करतो.,Organization orientation
"Even if others make a mistake, I can handle it calmly and can get them to correct it without making them angry (about themselves or others).",इतरांची चूक असेल तरी मला त्यांना सांभाळून घेता येते व त्यांना राग न येऊ देता त्यांच्याकडूनच दुरुस्त करून घेता येते.,Organization orientation
"I believe as a group we should take on new challenges, develop new skills, and learn together.","समूहाने मिळून नवीन आव्हाने स्वीकारावीत, नवीन कौशल्ये विकसित करावी, शिकावी, असे वाटते.",Organization orientation
"Whenever needed, I prioritize the group's work first, giving my own tasks secondary importance.",जेव्हा जेव्हा गरज असेल तेव्हा माझ्या कामांना दुय्यम प्राधान्य देऊन गटाची कामे मी आधी मार्गी लावतो.,Organization orientation
I can inspire the group members by showing them a common goal or by directing their focus toward the already set objective.,गटातील सदस्यांना एक सामायिक उद्दिष्ट दाखवून प्रेरित करू शकतो. किंवा आधीच ठरलेल्या उद्दिष्टाकडे गटाचे लक्ष वेधू शकतो.,Team building skills
I can create a plan that ensures everyone in the group is inspired by a shared history or heritage.,गटातील सर्वांना समान इतिहास / वारसा यातून प्रेरणा राहिल अशी योजना करू शकतो.,Team building skills
I can appreciate the qualities of the members in the group.,गटामधील सदस्यांचे गुणग्रहण करू शकतो.,Team building skills
"I am aware of what is happening in the lives of the group members, and I rush to help them whenever they are in need.",गटातील सदस्यांच्या आयुष्यात काय घडत असते या बद्दल मला माहिती असते व गटातील सदस्यांच्या गरजेच्या प्रसंगी मी मदतीला धावून जातो.,Team building skills
I am aware of who should do what sort of work in a group.,गटामध्ये कोणते काम कोणी करावे याची जाणीव असते.,Team building skills
I can work enthusiastically with colleagues who are of different ages and have different thoughts and personalities.,"आपल्याहून कमी किंवा जास्त वयाच्या, तसेच वेगवेगळ्या विचार व स्वभाव असणाऱ्या सहकाऱ्यांसोबत उत्साहाने काम करता येते.",Team building skills
"Rather than seeking dominance in the group, I take the initiative, accept help or guidance from others, and get the work done with the group's support.","गटावर माझेच वर्चस्व पाहिजे असे न वाटता कोणाचीही मदत वा मार्गदर्शन स्वीकारून, मी पुढाकार घेऊन गटाकडून काम करून घेतो.",Team building skills
I take on the responsibility of leading the group.,स्वतः गटाचे नेतृत्व करण्याची जबाबदारी घेतो.,Team building skills
"After deciding the objectives, I can understand its effects on the surrounding situation.",उद्दिष्ट काय ठरवले असता त्याचा आजूबाजूच्या परिस्थितीवर काय परिणाम होईल हे समजते. ,Planning skills
I understand how to divide a goal into necessary sub-goals and how to gather the resources and organize the persons who will be required to achieve such a goal.,उद्दिष्टाचे आवश्यक तेवढे टप्पे करून त्यासाठी काय साधने व कोणत्या प्रकारची माणसे जोडून घ्यायला लागतील असे मला समजते. ,Planning skills
I am ready with multiple options for executive actions in each phase of a goal.,उद्दिष्टाच्या प्रत्येक टप्प्यासाठी कृतींचे विविध पर्याय गरजेप्रमाणे माझ्याकडे तयार असतात. ,Planning skills
I plan the tasks and actions in such a way that they can have impacts in multiple ways.,एकाच कामामधून अधिकाधिक प्रकारचे परिणाम साधता येतील अशी मी कृतींची कामाची आखणी करतो. ,Planning skills
"Before initiating any action, I organise all necessary resources and prepare the mindset of the concerned team.",कोणत्याही प्रकारची कृती प्रत्यक्ष सुरू करण्यापूर्वी त्यासाठी साधनांची जुळवाजुळव व माणसांची मानसिक पूर्वतयारी करतो. ,Planning skills
"At any particular instant, I have clarity in thought about the work to be done in a given specific period.",ज्या त्या क्षणी विशिष्ट कालावधीमध्ये मी काय काम करणार आहे याबद्दल माझा विचार स्पष्ट असतो. ,Planning skills
"I start planning only after knowing about complete details about the qualities of the people working with me, and about the availability of all kinds of resources.",माझ्याबरोबर काम करणाऱ्या लोकांचे गुण व सर्व प्रकारच्या साधनांची उपलब्धता ह्याची पूर्ण माहिती मिळवून मगच नियोजनाला सुरुवात करतो. ,Planning skills
I can squeeze in one more side-task between already two ongoing tasks.,मला दोन कामांच्या वेळामध्ये तिसरे काम घुसवून पूर्ण करता येते. ,Planning skills
"I keep a mechanism ready to check whether the work is being done properly, or whether the desired results are being achieved, and my colleagues are aware of it.",काम योग्य प्रकारे चालू आहे अथवा नाही किंवा इष्ट परिणाम साधला जातो आहे  अथवा नाही हे तपासण्याची रचना माझ्याकडे तयार असते व सहकाऱ्यांना ती माहिती असते. ,Execution skills
"I coordinate to bring seniors, juniors, and colleagues on same page regarding where to take concessions in work, where to enforce discipline, and where to encourage innovativeness when carrying out a work.","कामात कुठे सवलत घ्यायची, शिस्तीने जसे ठरले आहे तसे कुठे करायचे व कुठे नाविन्यास प्रोत्साहन द्यायचे ह्या बाबतीत वरिष्ठ, कनिष्ठ व सहकारी ह्यांच्यात समन्वय साधतो.",Execution skills
I can easily delegate the work to others.,इतरांना कामाची सोपवणूक (delegation) सहजपणे करतो. ,Execution skills
I keep ready a list of extra tasks to be carried out at the present instant and in the future.,वर्तमान व भविष्यकाळात विविध टप्प्यावर करावयाच्या कामाची गरजेपेक्षा जास्त यादी तयार असते.,Execution skills
I can immediately prioritize the items in the work list.,कामांच्या यादीतील कामांचा प्राधान्यक्रम मला त्वरित ठरवता येतो.,Execution skills
I don't evade pre-determined work.,ठरवलेल्या कामाची टाळाटाळ मी करत नाही. ,Execution skills
"If a decision needs to be taken on an urgent basis while some execution is being done, I do so without wasting time.",कार्यवाहीमध्ये ऐन वेळी निर्णय घ्यायला लागले तर मी वेळ न घालवता ते घेऊन टाकतो. ,Execution skills
"Once my schedule is set, I have clarity about when should I change it and when I shouldn't change it.",माझे वेळापत्रक एकदा ठरले की मी त्यात कधी बदल करायचा व कधी बदल करायचा नाही ह्याची स्पष्टता मला असते. ,Execution skills
I can make my own decisions and I have clarity about when I Should change my decision and when I shouldn't.,स्वतःचे निर्णय स्वतः घेऊ शकतो व अशा निर्णयामध्ये कधी बदल करायचा व कधी बदल करायचा नाही ह्याची स्पष्टता मला असते. ,Execution skills
"If I am convinced about a work, I can do it for any duration and any number of times.",मला जर पटले तर मी काम कितीही वेळ व कितीही वेळा करू शकतो. ,Execution skills
"No matter how many tasks someone else asks me to do, I can get them done alongside my other work.",मला दुसऱ्याने कितीही कामे सांगितली तरी ती इतर माझ्या कामासोबत करून टाकता येतात.,Execution skills
I can take help of any person as per the needs of the task,कामाच्या गरजेनुसार कोणत्याही व्यक्तींची मदत मी कामात घेतो.,Resourcefulness
"I do not get convinced, without proper reasoning, that a task cannot be done.","एखादे काम होणार नाही हे मला शक्यतो, योग्य कारणमीमांसा केल्याशिवाय, पटतच नाही.",Resourcefulness
"I know about of how different people have accomplished tasks in various situations, and I explore different options to get the work done.",विविध परिस्थितींमध्ये वेगवेगळ्या व्यक्तींनी कशी कामे घडवली हे मला माहिती असते व मीही काम होण्यासाठी विविध पर्याय वापरत राहतो.,Resourcefulness
"If I do not get along with someone, I convey my point to that person with the help of a third person and get their cooperation in the work.","माझे एखाद्या व्यक्तीशी पटत नसल्यास, त्या व्यक्तीपर्यंत माझा मुद्दा मी तिसऱ्या व्यक्तीची मदत घेऊन पोचवतो व तिचे सहकार्य मी कामात मिळवतो.",Resourcefulness
I constantly arrange to present supplementary opportunities to my work/ goals.,माझी कामे / उद्दिष्टे यांना पूरक संधी आणण्याची व्यवस्था मी सतत करत असतो.,Resourcefulness
I am able to give someone some work so that they engage happily in it.,मी कोणत्याही व्यक्तीला काम देऊन कामात आनंदाने गुंतवू शकतो.,Resourcefulness
I can easily convince anyone that I can rectify my mistake(s).,माझी चूक असेल तर मी ती दुरुस्त करेन हे मी समोरच्याला सहज पटवून देऊ शकतो.,Resourcefulness
"I connect even those who have completely different goals or tasks with my work, or I ensure that my contribution continues in their work.","एकमेकांपासून पूर्णपणे वेगळी उद्दिष्टे वा कामे असणाऱ्यांनाही मी माझ्या कामाशी जोडून घेतो किंवा त्यांच्या कामात माझे योगदान होत राहील याची काळजी घेतो,",Resourcefulness
"If I get a rejection, I try to change the opinion of the person who rejected it, and after their rethinking, I see that the work will be completed.","मला नकार मिळाल्यास, तो नकार देणाऱ्या व्यक्तीचे मतपरिवर्तन होईल यासाठी मी प्रयत्न करतो व त्याच्याकडून होकार मिळाल्यावर काम साध्य होईल असे पाहतो. ",Resourcefulness
I don't wait for someone to assign me me some tasks.,मी कोणीतरी कामे सांगण्याची वाट पाहात नाही.,Spontaneity/Initiative
"If my friends are sitting in leisure, I take them with me to do some new job.",माझे मित्र स्वस्थ बसले असतील तर मी त्यांना सोबत घेऊन कोणता तरी नवाच उद्योग मी करतो.,Spontaneity/Initiative
I can easily elaborate about anything I did in last three months and reasons thereof.,गेल्या तीन महिन्यात मी काय काय केले व का केले हे मी सहज सांगू शकतो.,Spontaneity/Initiative
"If there is a fight, I attempt to resolve it",भांडणे झाली तर मी सोडवायला जातो. ,Spontaneity/Initiative
"Even when many people oppose my opinions, I stand by my opinions and ensure that what is pre-determined happens.",माझ्या मतांचा अनेकांनी विरोध केला असताना सुध्दा मी माझ्या मतावर ठाम राहून जे ठरले असेल ते घडवून आणतो. ,Spontaneity/Initiative
"I can work with eight to ten persons simultaneuously, and I can satisfy their queries while doing so.","मला एकाच वेळी आठ ते दहा जणांची कामे हाताळता येतात, व त्यांना मी उत्तरे देत राहू शकतो.",Multi-tasking ability
"I know about happenings in the lives of more than 20 people, and 
I constantly help them in any manner, as required.",मला २० हून अधिक व्यक्तींच्या आयुष्यात काय काय चालू आहे हे व्यवस्थित माहिती असते व त्यांना मी जी मदत करणे गरजेचे असते ती मी करत असतो.,Multi-tasking ability
"While working throughout the day, I constantly think about other 
things, and I am aware of such thinking.",दिवसभरातून कोणतेही काम करत असताना सतत मी एका बाजूला स्वतः इतर गोष्टींचा विचार करतो आणि त्याबद्दलची जाणीव मला असते. ,Multi-tasking ability
"I can quickly switch to another task with the same level of involvement, without reducing the intensity of my commitment to the current one.",माझी एका कामातील गुंतवणुकीची तीव्रता कमी न करता पटकन दुसऱ्या कामाकडे तेवढ्याच गुंतवणुकीसह मोहरा वळवता येतो.,Multi-tasking ability
"I can keep track of what everyone in the team is doing, stay updated on what's happening, and create a plan to ensure they don't encounter any problems.","गटातला प्रत्येक जण काय करतो आहे, काय चाललं आहे याकडे मला लक्ष देता येते व त्यांना येऊ घातलेली अडचण येणारच नाही अशी योजना मी करू शकतो. ",Multi-tasking ability
"I am aware of the changes that could be beneficial or detrimental to the individual, family, institution, or society.",व्यक्ती/ कुटुंब / संस्था / समाजातले कोणते बदल उपयोगाचे किंवा उपद्रवाचे ठरणार आहेत याबद्दल मला जाणीव असते.,Multi-tasking ability
I connect important historical events in various fields to the present as per the needs.,विविध क्षेत्रांमधील महत्त्वाच्या ऐतिहासिक घटनांचा वर्तमानकाळाशी संबंध मी गरजेप्रमाणे जोडतो.,Multi-tasking ability
I enjoy meeting new people and trying new things.,"मला नवनवीन व्यक्तींना भेटणे व नवनवीन कामाच्या पद्धती, प्रयोग समजावून घेणे आवडते. ",Innovation
I love learning new things about other people's valour / achievements / endeavours.,इतरांच्या पराक्रमाच्या नव्या नव्या गोष्टी समजून घ्यायला मला आवडतात. ,Innovation
"When a new opportunity arises, I first consider why it should be pursued, how and when it can be done, and only then do I think about the potential difficulties.","नवीन संधी आल्यावर ती का घेतली पाहिजे व कशी आणि कधी घेता येईल, हा विचार मी आधी करतो, आणि त्यानंतरच संभाव्य अडचणींचा विचार करतो.",Innovation
I predict about what will not continue to happen in the future.,"जे चालू आहे, त्यातील भविष्यकाळात काय टिकणार नाही याचे मी अंदाज बांधतो.",Innovation
I can unnoticeably amalgamate new things with old things.,नवीन गोष्टी जुन्या गोष्टींमध्ये बेमालुमपणे मिसळून टाकणे मला जमते.,Innovation
I can come up with 100-150 ideas in 10-15 minutes on any topic.,कोणत्याही विषयावर मला १००-१५० कल्पना १०-१५ मिनिटात सुचू शकतात.,Creativity
"I can use the ideas suggested by others, either directly or with some modifications.",दुसऱ्याने कल्पना सुचवल्या सुचवल्या ती थेट अथवा थोडेसे बदल करून मला वापरता येते. ,Creativity
I constantly study the innovative work done in diverse fields.,विविध क्षेत्रांमधील कल्पक कामांचा मी सतत अभ्यास करतो.,Creativity
I can apply the work methods from one field to any other field.,एखाद्या विशिष्ट क्षेत्रातील कामाची पद्धत मला दुसऱ्या कोणत्याही क्षेत्रात वापरता येते.,Creativity
"I understand the problems that may come up in achieving the goals, and how different approaches will be needed to solve them.","उद्दिष्टं गाठण्यात कोणकोणत्या समस्या येतील व त्यातल्या कोणत्या सोडवण्यासाठी नेहमीपेक्षा वेगळे मार्ग वापरावे लागतील, हे मला समजते.",Creativity
"I employ creativity at every stage of problem-solving in such a way that the problem feels accessible to everyone, the solution is understood and accepted by all, it is solved with minimal tools and effort, and the method is appreciated by everyone.","समस्या सर्वांच्या जिव्हाळ्याची असणे, तिचे उत्तर सर्वांना पटेल व पचेल असे मिळवणे, ती कमीतकमी साधने व कष्ट वापरून सुटेल व कार्यपद्धतीही सर्वांना आवडेल अशा पद्धतीने समस्यापरिहाराच्या सर्व टप्प्यांवर मी प्रतिभा वापरतो.",Creativity
"Even if a task is completed perfectly, I still feel a little dissatisfied and immediately start imagining how to do it even better next time.",एखादे काम अगदी अचूकपणे पूर्ण झाले तरी मला थोडेसे असमाधान असतेच व पुढच्यावेळी ते काम अजून उत्तम कसे होईल याची कल्पना करणे मी लगेचच सुरु करतो.,Ambition/Grandeur
After seeing the achievements of others I immediately start thinking about what I should do to achieve the same thing .,इतरांनी केलेल्या पराक्रमाने मी सुद्धा तसा पराक्रम करण्यासाठी काय काय केले पाहिजे असा लगेच विचार सुरु करतो.,Ambition/Grandeur
I can present the steps/stages of how to increase a scale of work by 10 times.,एखादे काम दहापटींनी वाढवायचे कसे याच्या पायऱ्या / टप्पे मला मांडता येतात.,Ambition/Grandeur
I never bother about starting a task no matter how small it is. I gradually make it bigger.,एखादे काम सुरू करताना ते कितीही छोट्या प्रमाणात सुरू झाले तरी मला अडचण नसते. ते काम मी हळू हळू मोठे करत जातो.,Ambition/Grandeur
I know about the challenges which are beyond my current strengths and capabilities and I keep some room in my task lists to gain any opportunity to engage with such challenges.,माझ्या सध्याच्या ताकदीच्या किंवा क्षमतेच्या थोडी पलीकडे असणारी आव्हाने कोणती हे मला माहिती असते व त्यासाठी माझ्या कामांच्या यादीत संधी ठेवलेली असते.,Ambition/Grandeur
"Instead of thinking only about my individual level, I think about what bigger goals can be achieved by using the capabilities of many (20/50/100, etc.) people.",फक्त माझ्या एकट्याच्या पातळीवरचा विचार न करता मी अनेक (२०/५०/१०० इ.) लोकांच्या क्षमता वापरून काय मोठे ध्येय गाठता येईल असा विचार करतो ,Ambition/Grandeur
I constantly study the history and qualities of successful countries/persons/organizations using various sources.,यशस्वी देश / व्यक्ती / संघटना यांच्या इतिहासाचा व गुणांचा मी विविध स्रोत वापरून सतत अभ्यास करतो.,Ambition/Grandeur
"I respond to the events happening against my will, by proactively taking actions.",मनाविरुद्ध घडणाऱ्या घटनांना मी कृतिरूप प्रतिसाद देतो,Intolerance of injustice
I am aware of the neglected sections of society and am proactive in ensuring they receive special opportunities.,समाजातील उपेक्षित घटकांबद्दल मला माहिती असते व त्यांना विशेष संधी मिळाव्यात यासाठी मी आग्रही असतो.,Intolerance of injustice
I take the opportunity to participate in incidental hunger strikes or marches being organized for social cause.,"सामाजिक प्रश्नासाठी सुरु असलेल्या उपोषण, मोर्चा या मध्ये मी संधी घेऊन सहभागी होतो.",Intolerance of injustice
"To solve local issues, I have met with corporators and lawmakers and used ways like sending letters, making representations and requests, and using RTI.","स्थानिक प्रश्नांना वाचा फोडण्यासाठी मी नगरसेवक,आमदार यांची भेट घेणे; प्रतिनिधित्व, पत्रव्यवहार , RTI या सारखे पर्याय वापरून पाहिले आहेत.",Intolerance of injustice
I personally feel saddened by the wrong things happening in the society.,समाजातील अनिष्ट गोष्टींमुळे मला व्यक्तिश: दुःख होते.,Intolerance of injustice
I can identify when injustice is happening and I make an effort to find out the reasons behind it.,मला अन्याय घडतोय हे ओळखता येते व त्या मागची काय कारणे असतील हे मी शोधून काढतो. ,Intolerance of injustice
I openly express my opinion against injustice in front of everyone.,मी अन्यायाविरोधात स्पष्टपणे माझे मत सर्वांसमोर व्यक्त करतो. ,Intolerance of injustice
